"STATE JOB
NUMBER",TERMINI,"ARDOT
DISTRICT",COUNTY,ROUTE,FFY,TYPE OF WORK,LENGTH,"TOTAL
COST",NHPP,NHFP,HSIP,RAIL-HWY,EARMARK,STBGP,"STBGP
(BR OFF)","STBGP
(GT 200K)",BFP,"BFP
(BR OFF)",NEVFP,"CRP 
(FLEX)","CRP 
(GT 200K)",PROTECT,AC,REC. TRAILS,"CMAQ
(FLEX)","CMAQ
(AQ)",TAP,"TAP
(GT 200K)",CHBP,INFRA,RAISE,COVID,MATA,GAP,FLAP,FLTP,ERFO,"MARINE
FUEL TAX","FERRY
BOAT",DBE,OJT,CAP,"AMENDMENT
 101",STATE,ACT 416,"STATE-
LOCAL",LOCAL,"AGENCY
CARRYING
OUT THE
PROJECT",CARTS,JATS,NARTS,PBATS,TUTS,WMATS,FRONTIER,TRI-LAKES,COMMENTS
012305,Hwy. 412 – Springdale Bypass (S),4/9,Benton & Washington,112,2027,Major Widening,4.000," $76,700 ", $-   ,,,,," $15,340 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $61,360 ",,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,This project includes intersection improvements at Hwy. 112/Hwy. 412.
012327,Antoine River Str. & Apprs. (S),3/7,Clark & Pike,26,2026,Str. & Apprs.,0.000," $4,200 ", $720 ,,,,,,,," $2,640 ",,,,,,,,,,,,,,,,,,,,,,,,,,, $840 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
012366,Hwy. 265 – Hwy. 412 (Springdale Bypass) (S),4/9,Benton & Washington,612,2025,New Location,6.622, $500 , $400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $100 ,,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Renew Arkansas Highways Project. Funding amount shown for project development.
012413,I-49 Noise Barrier Walls (S),4/9,Benton & Washington,I-49,2025,Noise Barrier Walls,2.097," $9,600 "," $8,640 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $960 ,,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Noise barrier walls to be added along Interstate 49 in Benton & Washington Counties.
012422,Hwy. 283 – S. of Garland Co. Line (Sel. Secs.) (S),6/7,Clark & Hot Spring,7,2025,Major Widening,17.740, $100 , $80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $20 ,,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Funding amount shown for project development.
012440,Central AR – West Memphis ITS Impvts. Ph. 2 (S),1/6,Various,70,2025,ITS Improvements,125.947," $20,000 "," $4,010 ",,,,,,,,,,," $13,990 ",,,,,,,,,,,,,,,,,,,,,,,," $2,000 ",,,,State,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
012480,Hwy. 412 Cable Median Barrier Impvts. (S),4/9,Madison & Washington,412,2025,Safety Improvements,17.010," $9,700 ",,," $8,730 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, $970 ,,,,State,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
020615,Pine Bluff – South (S),2,Jefferson,79,2025,Major Widening,2.363," $12,000 "," $9,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $2,400 ",,,,State,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
020628,I-530 – Hwy. 79B (Franklin St. & 6th Ave.) (Pine Bluff) (S),2,Jefferson,190,2025,Minor Widening,2.078," $5,600 ",,,,,," $4,480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,120 ",,,,State,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Partnering project.  City of Pine Bluff to assume ownership of Highway 190 through town upon completion of Jobs 020628 and 020588.
020661,I-530 Access Impvts. (Jefferson Co.) (Phase 1) (S),2,Jefferson,I-530,2025,New Location,1.659," $9,400 "," $7,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,880 ",,,,State,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Partnering Project with Jefferson County, AEDC & GTL. County to assume ownership of highway segments. $4M QACF from AEDC. GTL to front $7M. County will handle ROW/Utility."
020675,Montrose – Lake Village (Sel. Secs.) (S),2,Chicot,82,2026,Major Widening and Strs. & Apprs.,1.324," $25,900 ", $-   ,,,,," $20,720 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $5,180 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
020676,E. of Hamburg – Mist (Widening) (S),2,Ashley,82,2025,Major Widening,3.400," $15,000 "," $12,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $3,000 ",,,,State,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
